"country","article_name","revision_id","article_quality","population"
"Moldova","Template:Moldova-mayor-stub",444031013,"Stub",4109000
"Romania","Template:Romania-mayor-stub",444036980,"Stub",19838662
"Czech Republic","Template:CzechRepublic-mayor-stub",444371643,"Stub",10551227
"Poland","Template:Poland-mayor-stub",444373997,"Stub",38478001
"Luxembourg","Template:Luxembourg-politician-stub",444377000,"Stub",569202
"Luxembourg","Template:Luxembourg-mayor-stub",444381930,"Stub",569202
"Denmark","Template:Denmark-mayor-stub",444431830,"Stub",5676025
"Namibia","Template:Namibia-mayor-stub",444756008,"Stub",2482100
"South Africa","Template:SouthAfrica-mayor-stub",444756369,"Stub",55041000
"Burkina Faso","Template:BurkinaFaso-mayor-stub",444759010,"Stub",18450400
"Gabon","Template:Gabon-mayor-stub",444762949,"Stub",1751000
"Kenya","Template:Kenya-mayor-stub",444766243,"Stub",44306000
"Liberia","Template:Liberia-mayor-stub",444766443,"Stub",4503000
"Somalia","Template:Somalia-mayor-stub",444767261,"Stub",11123000
"Tunisia","Template:Tunisia-mayor-stub",444767517,"Stub",11026000
"Uganda","Template:Uganda-mayor-stub",444767727,"Stub",40141000
"Zimbabwe","Template:Zimbabwe-mayor-stub",444767985,"Stub",17354000
"Ecuador","Template:Ecuador-mayor-stub",445199467,"Stub",16279000
"Ecuador","Template:Ecuador-politician-stub",445225417,"Stub",16279000
"Cambodia","Template:Cambodia-politician-stub",445365862,"Stub",15417100
"Finland","Template:Finland-mayor-stub",445676138,"Stub",5476031
"Portugal","Template:Portugal-mayor-stub",446008048,"Stub",10349000
"Switzerland","Template:Switzerland-mayor-stub",446011535,"Stub",8292851
"Sweden","Template:Sweden-mayor-stub",446019004,"Stub",9804792
"Belgium","Template:Belgium-mayor-stub",446192353,"Stub",11211064
"Spain","Template:Spain-mayor-stub",446194245,"Stub",46368000
"Italy","Template:Italy-mayor-stub",446196171,"Stub",62466780
"Mexico","Template:Mexico-mayor-stub",446200358,"Stub",127017000
"Chile","Template:Chile-mayor-stub",446202781,"Stub",18025000
"Peru","Template:Peru-mayor-stub",446205420,"Stub",31151643
"Bolivia","Template:Bolivia-mayor-stub",446207794,"Stub",10475500
"Colombia","Template:Colombia-mayor-stub",446214240,"Stub",48218000
"Bulgaria","Template:Bulgaria-mayor-stub",446219671,"Stub",7181000
"Serbia","Template:Serbia-mayor-stub",446221243,"Stub",7097190
"Russia","Template:Russia-mayor-stub",446222994,"Stub",144302000
"Tanzania","Template:Tanzania-mayor-stub",446465586,"Stub",52291000
"Tanzania","Template:Tanzania-politician-stub",446468308,"Stub",52291000
"Sierra Leone","Template:SierraLeone-politician-stub",447694868,"Stub",6502960
"Sierra Leone","Template:SierraLeone-mayor-stub",447696094,"Stub",6502960
"Pakistan","Sehba Musharraf",448555418,"Stub",199047300
"Canada","Template:Nunavut-politician-stub",450168181,"Stub",35833000
"Croatia","Template:Croatia-mayor-stub",455747046,"Stub",4215000
"Madagascar","Template:Madagascar-mayor-stub",455961992,"Stub",23047400
"Ukraine","Template:Ukraine-mayor-stub",456370038,"Stub",42828300
"South Sudan","Template:SouthSudan-politician-stub",468942507,"Stub",12152000
"United States","Butler-Belmont family",470173494,"C",321234172
"Yemen","Template:Yemen-politician-stub",470905661,"Stub",26737000
"China","Template:PRChina-mayor-stub",471851224,"Stub",1371920000
"Canada","List of Canadian incumbents by year",477962574,"Stub",35833000
"Bolivia","Template:Bolivia-politician-stub",481837976,"Stub",10475500
"New Zealand","Template:NewZealand-politician-stub",488705675,"Stub",4598066
"India","Sheikh Sadiq Ali Ansari",492060822,"Stub",1314097616
"Philippines","Cayetano Pacana",492964343,"Stub",102965300
"Germany","Template:Germany-BVP-politician-stub",495124898,"Stub",81132000
"Venezuela","Template:Venezuela-politician-stub",496528097,"Stub",30620000
"Venezuela","Template:Venezuela-mayor-stub",496900283,"Stub",30620000
"Chad","Abdullah II of Kanem",498683267,"Stub",13707000
"United States","Heard-Hawes family",502721672,"C",321234172
"Russia","Template:TranscaucasiaPMs",503442332,"Stub",144302000
"Australia","Template:Australia-politician-stub",508253799,"Stub",23888000
"Poland","List of politicians in Poland",516633096,"Start",38478001
"Philippines","Template:Philippines-congressman-stub",519257222,"Stub",102965300
"Germany","List of German politicians",521986779,"Stub",81132000
"China","Template:China-politician-stub",527463943,"Stub",1371920000
"Switzerland","Template:Switzerland-diplomat-stub",529588432,"Stub",8292851
"Estonia","Template:Estonia-diplomat-stub",530047771,"Stub",1310504
"Palestinian Territory","Template:Palestine-diplomat-stub",530242215,"Stub",4481195
"Lebanon","Template:Lebanon-politician-stub",530284522,"Stub",6185000
"Armenia","Template:Armenia-mayor-stub",530322698,"Stub",3017106
"Armenia","Template:Armenia-politician-stub",530323140,"Stub",3017106
"Armenia","Template:Armenia-diplomat-stub",530323678,"Stub",3017106
"Taiwan","Template:Taiwan-mayor-stub",530544520,"Stub",23468000
"Sierra Leone","Template:Heads of Government, Sierra Leone",530554988,"Stub",6502960
"Cuba","Template:Cuba-politician-stub",530739845,"Stub",11139000
"Cuba","Template:Cuba-mayor-stub",530740001,"Stub",11139000
"Cuba","Template:Cuba-activist-stub",530742252,"Stub",11139000
"Cuba","Template:Cuba-diplomat-stub",530744043,"Stub",11139000
"Lithuania","Template:Lithuania-politician-stub",531458172,"Stub",2911203
"Lithuania","Template:Lithuania-mayor-stub",531459628,"Stub",2911203
"Malawi","Raspicious Dzanjalimodzi",532253442,"Stub",17174000
"Vietnam","Template:Vietnam-mayor-stub",535403481,"Stub",91714080
"Vietnam","Template:Vietnam-diplomat-stub",535403528,"Stub",91714080
"France","Template:France-activist-stub",535414539,"Stub",64346720
"Norway","Template:Norway-activist-stub",535414570,"Stub",5194411
"Poland","Template:Poland-activist-stub",535414592,"Stub",38478001
"Sweden","Template:Sweden-activist-stub",535414613,"Stub",9804792
"Ireland","Template:Ireland-activist-stub",535414628,"Stub",4630308
"Iceland","Template:Iceland-activist-stub",535414676,"Stub",330828
"Australia","Template:Australia-activist-stub",535415787,"Stub",23888000
"Spain","Template:Spain-activist-stub",535444722,"Stub",46368000
"Israel","Template:Israel-activist-stub",535446024,"Stub",8375384
"Yemen","Template:Yemen-activist-stub",535446071,"Stub",26737000
"Sri Lanka","Template:SriLanka-activist-stub",535446127,"Stub",20868800
"Japan","Template:Japan-activist-stub",535446167,"Stub",126866820
"Iraq","Template:Iraq-activist-stub",535446194,"Stub",37056000
"Iran","Template:Iran-activist-stub",535446209,"Stub",78483446
"Bangladesh","Template:Bangladesh-activist-stub",535446218,"Stub",160411000
"China","Template:China-activist-stub",535446243,"Stub",1371920000
"New Zealand","Template:NewZealand-activist-stub",535498320,"Stub",4598066
"Nepal","Template:Nepal-diplomat-stub",539244575,"Stub",28039000
"India","Template:India-diplomat-stub",539244631,"Stub",1314097616
"Jamaica","Template:Jamaica-diplomat-stub",539551401,"Stub",2727000
"Jamaica","Template:Jamaica-mayor-stub",539551660,"Stub",2727000
"Jamaica","Template:Jamaica-politician-stub",539551701,"Stub",2727000
"Portugal","Template:Portugal-diplomat-stub",540004474,"Stub",10349000
"Turkey","Template:Turkey-diplomat-stub",540004518,"Stub",78215000
"Turkey","Template:Turkey-activist-stub",540100985,"Stub",78215000
"Angola","Template:1992 candidates, Angola",540117421,"Stub",2.5e+07
"Philippines","Template:Philippines-activist-stub",540379020,"Stub",102965300
"Afghanistan","Template:Afghanistan-diplomat-stub",540459929,"Stub",32247000
"Pakistan","Template:Pakistan-activist-stub",540465312,"Stub",199047300
"Pakistan","Template:Pakistan-diplomat-stub",540468218,"Stub",199047300
"Kyrgyzstan","Template:2005 presidential election candidates, Kyrgyzstan",540963885,"Stub",5951000
"San Marino","Template:SanMarino-politician-stub",540974764,"Stub",33000
"Bosnia-Herzegovina","Template:BosniaHerzegovina-mayor-stub",540988222,"Stub",3650114
"Serbia","Template:Serbia-diplomat-stub",540992721,"Stub",7097190
"Slovenia","Template:Slovenia-diplomat-stub",540993236,"Stub",2064000
"Czech Republic","Template:CzechRepublic-diplomat-stub",540993708,"Stub",10551227
"Slovakia","Template:Slovakia-diplomat-stub",540993715,"Stub",5424051
"Bosnia-Herzegovina","Template:BosniaHerzegovina-diplomat-stub",540993917,"Stub",3650114
"Bulgaria","Template:Bulgaria-diplomat-stub",540994040,"Stub",7181000
"Denmark","Template:Denmark-diplomat-stub",540994071,"Stub",5676025
"Romania","Template:Romania-diplomat-stub",540994162,"Stub",19838662
"Italy","Template:Italy-diplomat-stub",540996332,"Stub",62466780
"Iceland","Template:Iceland-diplomat-stub",540996389,"Stub",330828
"Belgium","Template:Belgium-diplomat-stub",540996510,"Stub",11211064
"Poland","Template:Poland-diplomat-stub",540996703,"Stub",38478001
"Sweden","Template:Sweden-diplomat-stub",540996796,"Stub",9804792
"Hungary","Template:Hungary-diplomat-stub",540997088,"Stub",9835030
"Albania","Template:Albania-diplomat-stub",540997313,"Stub",2892000
"Austria","Template:Austria-diplomat-stub",540997908,"Stub",8615955
"Lithuania","Template:Lithuania-diplomat-stub",541003996,"Stub",2911203
"Greece","Template:Greece-diplomat-stub",541004175,"Stub",11520785
"Bangladesh","Template:Bangladesh-diplomat-stub",541009166,"Stub",160411000
"Australia","Template:Australia-diplomat-stub",541017284,"Stub",23888000
"Philippines","Template:Philippines-diplomat-stub",541019756,"Stub",102965300
"Turkmenistan","Template:Heads of government of Turkmenistan",541142538,"Stub",5373000
"Nicaragua","Manuel Antonio Blas Sáenz",543225630,"Stub",6262000
"Austria","Template:Austria-politician-stub",544279941,"Stub",8615955
"Algeria","Template:Algeria-politician-stub",544347736,"Stub",39948000
"Pakistan","Template:Pakistan-mayor-stub",544666451,"Stub",199047300
"Mexico","Template:Mexico-diplomat-stub",545449302,"Stub",127017000
"Hungary","Béla Vörösmarty",545936100,"Stub",9835030
"French Guiana","Presidents of the General Council of French Guiana",546364151,"Start",251000
"Japan","Template:Japan-politician-stub",546498071,"Stub",126866820
"Malaysia","Template:Malaysia-activist-stub",546935871,"Stub",30788840
"South Africa","Template:SouthAfrica-diplomat-stub",547269505,"Stub",55041000
"Djibouti","Template:DjiboutiPMs",548181438,"Stub",9e+05
"Nigeria","Template:Nigeria-diplomat-stub",548342756,"Stub",181839400
"Haiti","Template:Haiti-diplomat-stub",548684337,"Stub",10924000
"Venezuela","Template:Venezuela-diplomat-stub",548766254,"Stub",30620000
"Norway","Finn Sjue",549300521,"Stub",5194411
"Tanzania","Template:Tanzania-diplomat-stub",549366748,"Stub",52291000
"Vietnam","Template:Vietnam-politician-stub",550432744,"Stub",91714080
"Vanuatu","Tingtingru",550682925,"Stub",277500
"United States","Russell family (American political family)",550953646,"Stub",321234172
"Bolivia","Template:Bolivia-activist-stub",551889841,"Stub",10475500
"Colombia","Template:Colombia-diplomat-stub",552027405,"Stub",48218000
"Ukraine","Template:Ukraine-politician-stub",556222971,"Stub",42828300
"Italy","Template:Italy-activist-stub",559149314,"Stub",62466780
"Philippines","Maximo Suniel",559553872,"Stub",102965300
"Hungary","Mihály Mikes (soldier)",559788982,"Stub",9835030
"Romania","Template:Romania-politician-stub",560171855,"Stub",19838662
"Italy","Template:Italy-politician-stub",560300020,"Stub",62466780
"India","Template:India-politician-stub",560300100,"Stub",1314097616
"Mexico","Template:Mexico-politician-stub",560421629,"Stub",127017000
"Netherlands","Template:Netherlands-politician-stub",560422911,"Stub",16942373
"Poland","Template:Poland-politician-stub",560564875,"Stub",38478001
"Iran","The Man with the Chocolate Robe",560758943,"Stub",78483446
"Russia","Template:Russia-politician-stub",560768421,"Stub",144302000
"Egypt","Template:Egypt-politician-stub",561071682,"Stub",89074000
"Portugal","Template:Portugal-politician-stub",561074684,"Stub",10349000
"Libya","Template:Libya-politician-stub",561074815,"Stub",6317000
"Canada","Template:Canada-politician-stub",561075472,"Stub",35833000
"Hungary","Template:Hungary-politician-stub",561076576,"Stub",9835030
"Malta","List of Malta Labour Party leaders",561744402,"Stub",431486
"Mexico","Template:Mexico-activist-stub",563278006,"Stub",127017000
"Nigeria","Template:Nigeria-activist-stub",563278068,"Stub",181839400
"Paraguay","Template:Paraguay-politician-stub",563745261,"Stub",7020000
"Paraguay","Template:Paraguay-diplomat-stub",563745346,"Stub",7020000
"Paraguay","Template:Paraguay-activist-stub",563745360,"Stub",7020000
"Denmark","Template:Denmark-activist-stub",564225242,"Stub",5676025
"Netherlands","Template:Netherlands-activist-stub",564225270,"Stub",16942373
"Bolivia","Template:Bolivia-diplomat-stub",564315998,"Stub",10475500
"Peru","Template:Peru-diplomat-stub",564317418,"Stub",31151643
"Ecuador","Template:Ecuador-diplomat-stub",564317537,"Stub",16279000
"Argentina","Template:Argentina-diplomat-stub",564317569,"Stub",42426000
"Chile","Template:Chile-diplomat-stub",564317591,"Stub",18025000
"Argentina","Template:Argentina-activist-stub",564438801,"Stub",42426000
"Spain","Marquis of Amboage",564873005,"Stub",46368000
"Chad","Salmama II of Kanem",565745353,"Stub",13707000
"Chad","Kuri I of Kanem",565745365,"Stub",13707000
"Chad","Mohammed I of Kanem",565745375,"Stub",13707000
"Djibouti","Template:DjiboutiPresidents",566428829,"Stub",9e+05
"Taiwan","Template:Taiwan-politician-stub",567181489,"Stub",23468000
"Philippines","Template:Philippines-politician-stub",567204972,"Stub",102965300
"Nicaragua","Template:Nicaragua-politician-stub",567212908,"Stub",6262000
"Ireland","Template:Ireland-diplomat-stub",567620803,"Stub",4630308
"Algeria","Template:Algeria-diplomat-stub",567620838,"Stub",39948000
"Malta","List of members of the parliament of Malta, 2008–13",573710096,"B",431486
"Ghana","Samuel Nii Ayi Mankattah",576988466,"Stub",27672800
"Ukraine","Template:Ukraine-activist-stub",577828365,"Stub",42828300
"Germany","Template:Germany-DKP-politician-stub",581109695,"Stub",81132000
"Germany","Template:Germany-USPD-politician-stub",581109760,"Stub",81132000
"Germany","Template:Germany-LDPD-politician-stub",581109965,"Stub",81132000
"Germany","Template:Germany-DNVP-politician-stub",581110015,"Stub",81132000
"Germany","Template:Germany-politician-stub",581110109,"Stub",81132000
"Germany","Template:Germany-activist-stub",581110137,"Stub",81132000
"Ecuador","Template:Ecuador-activist-stub",583459402,"Stub",16279000
"Papua New Guinea","Template:PNGPMs",585140171,"Stub",7744600
"Germany","Template:Germany-NPD-politician-stub",585354886,"Stub",81132000
"Costa Rica","Template:CostaRica-diplomat-stub",585817999,"Stub",4832000
"Tanzania","Hemed Khamis",585894477,"Stub",52291000
"French Guiana","Template:Presidents of the Regional Council of French Guiana",590905939,"Stub",251000
"Switzerland","Template:Switzerland-activist-stub",591438058,"Stub",8292851
"Venezuela","Template:Venezuela-activist-stub",592089814,"Stub",30620000
"Congo, Dem. Rep. of","Mavua Mudima",592289232,"Stub",73340200
"Laos","Template:Laos-diplomat-stub",594545324,"Stub",6903049
"Indonesia","Template:Indonesia-diplomat-stub",594545381,"Stub",255741973
"Japan","Template:Japan-diplomat-stub",594545594,"Stub",126866820
"Togo","Council of Ministers of Togo",595693452,"Start",7231000
"Palestinian Territory","Finance Minister of the Palestinian National Authority",596181202,"Start",4481195
"United Arab Emirates","Abdullah Al Nuaimi (politician)",598819900,"Start",9577000
"China","Zhang Zhenzhou",601122766,"Stub",1371920000
"China","Feng Liao",601127343,"Start",1371920000
"Peru","Template:Peru-activist-stub",601137346,"Stub",31151643
"Ethiopia","Template:President of Ethiopia",602470386,"Stub",98148000
"Ukraine","Template:Ukraine-MP-stub",603583697,"Stub",42828300
"Croatia","Template:Croatia-diplomat-stub",605879488,"Stub",4215000
"Tuvalu","Template:Prime Minister of Tuvalu",607934598,"Stub",11800
"Pakistan","Template:Pakistan-politician-stub",610315750,"Stub",199047300
"Somalia","Template:Presidents of Somaliland",612095066,"Stub",11123000
"Antigua and Barbuda","Template:Prime Minister of Antigua and Barbuda",612801561,"Stub",90000
"China","Wu Shihuo",614786300,"Start",1371920000
"Uruguay","Template:Uruguay-mayor-stub",615286075,"Stub",3562000
"Uruguay","Template:Uruguay-activist-stub",615286422,"Stub",3562000
"Spain","Template:Galicia-politician-stub",615616012,"Stub",46368000
"Taiwan","Template:Taiwan-diplomat-stub",615935504,"Stub",23468000
"Senegal","Template:SenegalPMs",616604396,"Stub",14690400
"Iran","Template:Iran-diplomat-stub",617753792,"Stub",78483446
"Iraq","Template:Iraq-diplomat-stub",617753923,"Stub",37056000
"Somalia","Template:Presidents of Puntland",618829831,"Stub",11123000
"Estonia","Template:Estonia-mayor-stub",619542964,"Stub",1310504
"Cambodia","Template:Presidents of the National Assembly of Cambodia",620367767,"Stub",15417100
"Brazil","Template:Brazil-activist-stub",621495219,"Stub",204519398
"Chile","Template:Chile-activist-stub",621495266,"Stub",18025000
"Kenya","Kennedy Kiliku",623004627,"Stub",44306000
"Angola","Kamu de Almeida",623334577,"Stub",2.5e+07
"Slovenia","Hiša Marije Pomočnice",624468970,"Stub",2064000
"Croatia","Đuro Šurmin",625509885,"Start",4215000
"Japan","Suishō",626606789,"Stub",126866820
"Russia","Nikolai Sulima",627001041,"Stub",144302000
"South Africa","Khayelihle Mathaba",627051151,"Stub",55041000
"Finland","Vilho Turunen",627432937,"Stub",5476031
"Afghanistan","Daud Arsala",627547024,"Stub",32247000
"Finland","Vihtori Aromaa",628261896,"Stub",5476031
"Finland","Jonathan Wartiovaara",628268705,"Stub",5476031
"Finland","Arvi Turkka",628270736,"Stub",5476031
"Finland","Juho Heikkinen",628312759,"Stub",5476031
"Finland","Emanuel Aromaa",628379479,"Stub",5476031
"Finland","Jukka Lankila",628563978,"Stub",5476031
"Finland","Jalmari Malmi",628619000,"Stub",5476031
"Finland","Viljo Pousi",628766656,"Stub",5476031
"Finland","Jooseppi Kauranen",628988952,"Stub",5476031
"Pakistan","Sardar Aurang Zeb Khan",629562076,"Stub",199047300
"Tanzania","Jeremiah Kasambala",629818376,"Stub",52291000
"Finland","Sofia Hjulgrén",630396351,"Stub",5476031
"Finland","Vihtori Viitanen",630396786,"Stub",5476031
"Philippines","Tirso Neri",630704768,"Stub",102965300
"Korea, North","Template:WPKHeads",631002637,"Stub",24983000
"Greece","Cleisthenes (son of Sibyrtius)",631437331,"Stub",11520785
"Greece","Demonax (lawmaker)",631581752,"Start",11520785
"Canada","List of 2009 Canadian incumbents",632008524,"Start",35833000
"United Kingdom","Zero, None Of The Above",632261377,"Stub",65092000
"Finland","Johan Franzén (politician)",632447328,"Stub",5476031
"Ethiopia","Template:AddisAbabaMayors",632582059,"Stub",98148000
"Palestinian Territory","Planning Minister of the Palestinian National Authority",633612729,"Start",4481195
"Botswana","Template:Foreign Ministers of Botswana",633883875,"Stub",2139900
"China","Liu Hongchang",634032715,"B",1371920000
"Qatar","Template:QatarEmirs",635021360,"Stub",2394524
"Rwanda","Template:Rwandan presidents",635175072,"Stub",11331300
"Ireland","Custos Rotulorum of County Wicklow",635240253,"Stub",4630308
"Ireland","Custos Rotulorum of County Cork",635814126,"Stub",4630308
"India","Book:Two Political Biographies",636911471,"Stub",1314097616
"Nauru","Template:NauruPres",637674341,"Stub",10860
"Greece","Hegesippus (orator)",637801253,"Stub",11520785
"Sudan","Template:SudanPresidents",638039494,"Stub",40883900
"India","Pheroze Sethna",638214719,"Stub",1314097616
"Tunisia","Ibrahim Kassas",638362866,"Start",11026000
"India","Dilip Sarkar",638377138,"Stub",1314097616
"South Sudan","Gatluak Deng Garang",638571205,"Stub",12152000
"Botswana","List of members of the National Assembly of Botswana 2009–14",638599355,"Start",2139900
"Nigeria","Aliyu Ibrahim Gebi",639021339,"Stub",181839400
"China","Wang Jichang",639061161,"Start",1371920000
"Brazil","Waldemir Moka",639471171,"Stub",204519398
"Ireland","Custos Rotulorum of County Waterford",640014648,"Stub",4630308
"Korea, South","Lee Ja-kyum",640214913,"Stub",50713867
"China","Wei Huan-zi",640826254,"Stub",1371920000
"Chile","O'Higgins Pioche",641422326,"Stub",18025000
"Serbia","Template:Serbia-politician-stub",641619789,"Stub",7097190
"Austria","Template:Austria-activist-stub",642383400,"Stub",8615955
"Mozambique","Template:MozambiquePresidents",642597959,"Stub",25736000
"Palestinian Territory","Template:Palestine-politician-stub",642657096,"Stub",4481195
"Palestinian Territory","Template:Palestine-mayor-stub",642657247,"Stub",4481195
"San Marino","List of Captains Regent of San Marino, 1500–1700",643410335,"B",33000
"Saudi Arabia","Template:Saudi Kings",643741011,"Stub",31565109
"Denmark","Eiler Grubbe",643746000,"Stub",5676025
"Finland","Olli Zitting",644024203,"Stub",5476031
"France","Pierre Philibert de Blancheton",644041882,"Start",64346720
"Albania","Luiza Xhuvani",644399375,"Stub",2892000
"Spain","Diego de Villalba y Toledo",645225697,"Start",46368000
"Zimbabwe","Jabulani Dube",645408814,"Stub",17354000
"Vietnam","Template:Vietnam-activist-stub",645944000,"Stub",91714080
"Indonesia","Template:Indonesia-activist-stub",645944060,"Stub",255741973
"Yemen","Template:YemenPresidents",646131340,"Stub",26737000
"Benin","Ministry of Economy and Finance (Benin)",647450883,"Stub",10583034
"Romania","Gheorghe Barbu",647483021,"Start",19838662
"Yemen","Template:Yemen-diplomat-stub",647572730,"Stub",26737000
"Gabon","Template:Gabon-diplomat-stub",647573541,"Stub",1751000
"China","Pan Yunduan",647832959,"Stub",1371920000
"Finland","Otto Elfving",647893858,"Stub",5476031
"Lebanon","Template:Lebanon-diplomat-stub",647908204,"Stub",6185000
"Sri Lanka","List of Sri Lankan politicians",648048611,"Start",20868800
"India","Fathema Ismail",648271473,"Stub",1314097616
"Bosnia-Herzegovina","Template:Prime Ministers of Republika Srpska",648935308,"Stub",3650114
"Estonia","Template:Estonia-politician-stub",649098580,"Stub",1310504
"Spain","Rafael Simancas",650458255,"Stub",46368000
"Philippines","Adela Serra-Ty",650462344,"Stub",102965300
"Syria","Template:Syria-politician-stub",650493614,"Stub",17065000
"Syria","Template:Syria-diplomat-stub",650493642,"Stub",17065000
"Syria","Muhammad al-Ghafri",650494773,"Stub",17065000
"Bosnia-Herzegovina","Template:Prime Ministers of the Federation of Bosnia and Herzegovina",651745952,"Stub",3650114
"Uruguay","Eneida de León",651785828,"Stub",3562000
"United States","Read family of Delaware",651856758,"Stub",321234172
"United Kingdom","Template:Anguilla-politician-stub",652811277,"Stub",65092000
"Canada","Rossy Barbour",653527941,"Stub",35833000
"Ghana","Reginald Nii Bi Ayibonte",653895210,"Stub",27672800
"Poland","Franz Schimmelpfennig von der Ove",654012510,"Stub",38478001
"Finland","Ville Korhonen (politician)",655031906,"Stub",5476031
"Finland","Onni Hallsten",655032578,"Stub",5476031
"Uganda","Yosia Nadiope of Busoga",655390291,"Stub",40141000
"Colombia","María del Socorro Bustamante",655980284,"Stub",48218000
"Uruguay","Enrique Pintado",656352211,"Stub",3562000
"Uruguay","Instructions of the Year XIII",656386131,"Stub",3562000
"Moldova","Governor of Gagauzia",656737492,"Stub",4109000
"Egypt","Neferkheperu-her-sekheper",657176628,"Start",89074000
"Ghana","Abeifaa Karbo",658939122,"Stub",27672800
"France","Auguste Louis Antoine Fabre",659315526,"Stub",64346720
"Tajikistan","Maksud Ibragimov",660214915,"Start",8452153
"Mauritius","Template:Governors-General of Mauritius",660242064,"Stub",1262660
"Nicaragua","Miguel R. Morales",660579437,"Stub",6262000
"Bosnia-Herzegovina","Aljoša Čampara",660884852,"Start",3650114
"Bosnia-Herzegovina","Template:Presidents of the Federation of Bosnia and Herzegovina",662458594,"Stub",3650114
"Germany","Walter Simon (philanthropist)",662681733,"Start",81132000
